NAME,RACE,AGE,SEX,CRIME,METHOD,DAY,MONTH,YEAR,STATE
ADAM JEAN,unknown,,M,Murder - Burglary,Hanging,2,7,1852,LA
ADAMS ALAN,White,44,M,Murder,Hanging,16,4,1881,MA
ADAMS AMOS,Black,28,M,Rape,Hanging,30,11,1817,CT
ADAMS ARTHUR,Black,38,M,Murder,Electrocution,5,9,1947,TX
ADAMS ASBELL,White,19,M,Murder,Electrocution,8,4,1949,OH
ADAMS AUBREY,White,31,M,Murder,Electrocution,4,5,1989,FL
ADAMS BEN,White,,M,Robbery - Murder,Electrocution,5,6,1942,AR
ADAMS BEVERLY,Black,22,M,Murder,Hanging,14,9,1894,KY
ADAMS BISHOP,Black,,M,Robbery - Murder,Electrocution,13,3,1930,TX
ADAMS BURLEY,White,34,M,Murder,Electrocution,22,5,1931,GA
ADAMS CALEB,White,18,M,Murder,Hanging,29,11,1803,CT
ADAMS EUGENE,Black,20,M,Robbery - Murder,Electrocution,22,6,1923,SC
ADAMS FRED,White,21,M,Murder,Hanging,2,4,1937,MO
ADAMS GRANT,White,22,M,Murder,Electrocution,6,4,1925,PA
ADAMS HARRY,White,,M,Robbery - Murder,Hanging,15,6,1877,OH
ADAMS JAMES,Black,47,M,Robbery - Murder,Electrocution,10,5,1984,FL
ADAMS JOHN,Black,,M,Murder,Hanging,4,4,1913,AL
ADAMS LACEY,Black,38,M,Robbery - Murder,Electrocution,10,6,1932,OH
ADAMS MARTIN,White,29,M,Murder,Hanging,27,9,1895,OH
ADAMS MONROE,Black,,M,Murder,Hanging,15,5,1903,GA
ADAMS OTHA,White,54,M,Murder,Electrocution,14,11,1958,GA
ADAMS PARKER,Black,,M,Robbery - Murder,Electrocution,4,3,1944,LA
ADAMS PLEASANT,Black,,M,Arson,Hanging,28,4,1882,SC
ADAMS SYDNEY,Black,40,M,Murder,Hanging,21,1,1927,CA
ADAMS SYLVESTER LEWIS,Black,39,M,Kidnapping - Murder - Robbery,Injection,18,8,1995,SC
ADAMS WILL,Black,,M,Murder,Hanging,14,9,1905,NC
ADAMS WILLIAM,Black,,M,Murder,Hanging,29,5,1835,MD
ADAMS WILLIAM C.,White,35,M,Murder,Hanging,20,2,1931,WV
